coach_id,journey_id,coach_number,coach_type,class_code,seat_capacity
CO000001,J000001,B1,AC_THREE_TIER,3A,64
CO000002,J000001,B2,AC_THREE_TIER,3A,64
CO000003,J000001,B3,AC_THREE_TIER,3A,64
CO000004,J000001,B4,AC_THREE_TIER,3A,64
CO000005,J000001,A1,AC_TWO_TIER,2A,48
CO000006,J000001,A2,AC_TWO_TIER,2A,48
CO000007,J000001,S1,SLEEPER,SL,72
CO000008,J000001,S2,SLEEPER,SL,72
CO000009,J000001,S3,SLEEPER,SL,72
CO000010,J000001,S4,SLEEPER,SL,72
CO000011,J000001,S5,SLEEPER,SL,72
CO000012,J000002,B1,AC_THREE_TIER,3A,64
CO000013,J000002,B2,AC_THREE_TIER,3A,64
CO000014,J000002,B3,AC_THREE_TIER,3A,64
CO000015,J000002,B4,AC_THREE_TIER,3A,64
CO000016,J000002,A1,AC_TWO_TIER,2A,48
CO000017,J000002,A2,AC_TWO_TIER,2A,48
CO000018,J000002,S1,SLEEPER,SL,72
CO000019,J000002,S2,SLEEPER,SL,72
CO000020,J000002,S3,SLEEPER,SL,72
CO000021,J000002,S4,SLEEPER,SL,72
CO000022,J000002,S5,SLEEPER,SL,72
CO000023,J000003,B1,AC_THREE_TIER,3A,64
CO000024,J000003,B2,AC_THREE_TIER,3A,64
CO000025,J000003,B3,AC_THREE_TIER,3A,64
CO000026,J000003,B4,AC_THREE_TIER,3A,64
CO000027,J000003,A1,AC_TWO_TIER,2A,48
CO000028,J000003,A2,AC_TWO_TIER,2A,48
CO000029,J000003,S1,SLEEPER,SL,72
CO000030,J000003,S2,SLEEPER,SL,72
CO000031,J000003,S3,SLEEPER,SL,72
CO000032,J000003,S4,SLEEPER,SL,72
CO000033,J000003,S5,SLEEPER,SL,72
CO000034,J000004,B1,AC_THREE_TIER,3A,64
CO000035,J000004,B2,AC_THREE_TIER,3A,64
CO000036,J000004,B3,AC_THREE_TIER,3A,64
CO000037,J000004,B4,AC_THREE_TIER,3A,64
CO000038,J000004,A1,AC_TWO_TIER,2A,48
CO000039,J000004,A2,AC_TWO_TIER,2A,48
CO000040,J000004,S1,SLEEPER,SL,72
CO000041,J000004,S2,SLEEPER,SL,72
CO000042,J000004,S3,SLEEPER,SL,72
CO000043,J000004,S4,SLEEPER,SL,72
CO000044,J000004,S5,SLEEPER,SL,72
CO000045,J000005,B1,AC_THREE_TIER,3A,64
CO000046,J000005,B2,AC_THREE_TIER,3A,64
CO000047,J000005,B3,AC_THREE_TIER,3A,64
CO000048,J000005,B4,AC_THREE_TIER,3A,64
CO000049,J000005,A1,AC_TWO_TIER,2A,48
CO000050,J000005,A2,AC_TWO_TIER,2A,48
CO000051,J000005,S1,SLEEPER,SL,72
CO000052,J000005,S2,SLEEPER,SL,72
CO000053,J000005,S3,SLEEPER,SL,72
CO000054,J000005,S4,SLEEPER,SL,72
CO000055,J000005,S5,SLEEPER,SL,72
CO000056,J000006,B1,AC_THREE_TIER,3A,64
CO000057,J000006,B2,AC_THREE_TIER,3A,64
CO000058,J000006,B3,AC_THREE_TIER,3A,64
CO000059,J000006,B4,AC_THREE_TIER,3A,64
CO000060,J000006,A1,AC_TWO_TIER,2A,48
CO000061,J000006,A2,AC_TWO_TIER,2A,48
CO000062,J000006,S1,SLEEPER,SL,72
CO000063,J000006,S2,SLEEPER,SL,72
CO000064,J000006,S3,SLEEPER,SL,72
CO000065,J000006,S4,SLEEPER,SL,72
CO000066,J000006,S5,SLEEPER,SL,72
CO000067,J000007,C1,CHAIR_CAR,CC,78
CO000068,J000007,C2,CHAIR_CAR,CC,78
CO000069,J000007,C3,CHAIR_CAR,CC,78
CO000070,J000007,C4,CHAIR_CAR,CC,78
CO000071,J000007,C5,CHAIR_CAR,CC,78
CO000072,J000007,C6,CHAIR_CAR,CC,78
CO000073,J000007,E1,EXECUTIVE_CHAIR_CAR,EC,56
CO000074,J000007,E2,EXECUTIVE_CHAIR_CAR,EC,56
CO000075,J000008,C1,CHAIR_CAR,CC,78
CO000076,J000008,C2,CHAIR_CAR,CC,78
CO000077,J000008,C3,CHAIR_CAR,CC,78
CO000078,J000008,C4,CHAIR_CAR,CC,78
CO000079,J000008,C5,CHAIR_CAR,CC,78
CO000080,J000008,C6,CHAIR_CAR,CC,78
CO000081,J000008,E1,EXECUTIVE_CHAIR_CAR,EC,56
CO000082,J000008,E2,EXECUTIVE_CHAIR_CAR,EC,56
CO000083,J000009,C1,CHAIR_CAR,CC,78
CO000084,J000009,C2,CHAIR_CAR,CC,78
CO000085,J000009,C3,CHAIR_CAR,CC,78
CO000086,J000009,C4,CHAIR_CAR,CC,78
CO000087,J000009,C5,CHAIR_CAR,CC,78
CO000088,J000009,C6,CHAIR_CAR,CC,78
CO000089,J000009,E1,EXECUTIVE_CHAIR_CAR,EC,56
CO000090,J000009,E2,EXECUTIVE_CHAIR_CAR,EC,56
CO000091,J000010,C1,CHAIR_CAR,CC,78
CO000092,J000010,C2,CHAIR_CAR,CC,78
CO000093,J000010,C3,CHAIR_CAR,CC,78
CO000094,J000010,C4,CHAIR_CAR,CC,78
CO000095,J000010,C5,CHAIR_CAR,CC,78
CO000096,J000010,C6,CHAIR_CAR,CC,78
CO000097,J000010,E1,EXECUTIVE_CHAIR_CAR,EC,56
CO000098,J000010,E2,EXECUTIVE_CHAIR_CAR,EC,56
CO000099,J000011,C1,CHAIR_CAR,CC,78
CO000100,J000011,C2,CHAIR_CAR,CC,78
CO000101,J000011,C3,CHAIR_CAR,CC,78
CO000102,J000011,C4,CHAIR_CAR,CC,78
CO000103,J000011,C5,CHAIR_CAR,CC,78
CO000104,J000011,C6,CHAIR_CAR,CC,78
CO000105,J000011,E1,EXECUTIVE_CHAIR_CAR,EC,56
CO000106,J000011,E2,EXECUTIVE_CHAIR_CAR,EC,56
CO000107,J000012,C1,CHAIR_CAR,CC,78
CO000108,J000012,C2,CHAIR_CAR,CC,78
CO000109,J000012,C3,CHAIR_CAR,CC,78
CO000110,J000012,C4,CHAIR_CAR,CC,78
CO000111,J000012,C5,CHAIR_CAR,CC,78
CO000112,J000012,C6,CHAIR_CAR,CC,78
CO000113,J000012,E1,EXECUTIVE_CHAIR_CAR,EC,56
CO000114,J000012,E2,EXECUTIVE_CHAIR_CAR,EC,56
CO000115,J000013,C1,CHAIR_CAR,CC,78
CO000116,J000013,C2,CHAIR_CAR,CC,78
CO000117,J000013,C3,CHAIR_CAR,CC,78
CO000118,J000013,C4,CHAIR_CAR,CC,78
CO000119,J000013,C5,CHAIR_CAR,CC,78
CO000120,J000013,C6,CHAIR_CAR,CC,78
CO000121,J000013,C7,CHAIR_CAR,CC,78
CO000122,J000013,E1,EXECUTIVE_CHAIR_CAR,EC,56
CO000123,J000013,E2,EXECUTIVE_CHAIR_CAR,EC,56
CO000124,J000014,C1,CHAIR_CAR,CC,78
CO000125,J000014,C2,CHAIR_CAR,CC,78
CO000126,J000014,C3,CHAIR_CAR,CC,78
CO000127,J000014,C4,CHAIR_CAR,CC,78
CO000128,J000014,C5,CHAIR_CAR,CC,78
CO000129,J000014,C6,CHAIR_CAR,CC,78
CO000130,J000014,C7,CHAIR_CAR,CC,78
CO000131,J000014,E1,EXECUTIVE_CHAIR_CAR,EC,56
CO000132,J000014,E2,EXECUTIVE_CHAIR_CAR,EC,56
CO000133,J000015,C1,CHAIR_CAR,CC,78
CO000134,J000015,C2,CHAIR_CAR,CC,78
CO000135,J000015,C3,CHAIR_CAR,CC,78
CO000136,J000015,C4,CHAIR_CAR,CC,78
CO000137,J000015,C5,CHAIR_CAR,CC,78
CO000138,J000015,C6,CHAIR_CAR,CC,78
CO000139,J000015,C7,CHAIR_CAR,CC,78
CO000140,J000015,E1,EXECUTIVE_CHAIR_CAR,EC,56
CO000141,J000015,E2,EXECUTIVE_CHAIR_CAR,EC,56
CO000142,J000016,C1,CHAIR_CAR,CC,78
CO000143,J000016,C2,CHAIR_CAR,CC,78
CO000144,J000016,C3,CHAIR_CAR,CC,78
CO000145,J000016,C4,CHAIR_CAR,CC,78
CO000146,J000016,C5,CHAIR_CAR,CC,78
CO000147,J000016,C6,CHAIR_CAR,CC,78
CO000148,J000016,C7,CHAIR_CAR,CC,78
CO000149,J000016,E1,EXECUTIVE_CHAIR_CAR,EC,56
CO000150,J000016,E2,EXECUTIVE_CHAIR_CAR,EC,56
CO000151,J000017,C1,CHAIR_CAR,CC,78
CO000152,J000017,C2,CHAIR_CAR,CC,78
CO000153,J000017,C3,CHAIR_CAR,CC,78
CO000154,J000017,C4,CHAIR_CAR,CC,78
CO000155,J000017,C5,CHAIR_CAR,CC,78
CO000156,J000017,C6,CHAIR_CAR,CC,78
CO000157,J000017,C7,CHAIR_CAR,CC,78
CO000158,J000017,E1,EXECUTIVE_CHAIR_CAR,EC,56
CO000159,J000017,E2,EXECUTIVE_CHAIR_CAR,EC,56
CO000160,J000018,C1,CHAIR_CAR,CC,78
CO000161,J000018,C2,CHAIR_CAR,CC,78
CO000162,J000018,C3,CHAIR_CAR,CC,78
CO000163,J000018,C4,CHAIR_CAR,CC,78
CO000164,J000018,C5,CHAIR_CAR,CC,78
CO000165,J000018,C6,CHAIR_CAR,CC,78
CO000166,J000018,C7,CHAIR_CAR,CC,78
CO000167,J000018,E1,EXECUTIVE_CHAIR_CAR,EC,56
CO000168,J000018,E2,EXECUTIVE_CHAIR_CAR,EC,56
CO000169,J000019,B1,AC_THREE_TIER,3A,64
CO000170,J000019,B2,AC_THREE_TIER,3A,64
CO000171,J000019,B3,AC_THREE_TIER,3A,64
CO000172,J000019,B4,AC_THREE_TIER,3A,64
CO000173,J000019,A1,AC_TWO_TIER,2A,48
CO000174,J000019,A2,AC_TWO_TIER,2A,48
CO000175,J000019,S1,SLEEPER,SL,72
CO000176,J000019,S2,SLEEPER,SL,72
CO000177,J000019,S3,SLEEPER,SL,72
CO000178,J000019,S4,SLEEPER,SL,72
CO000179,J000019,S5,SLEEPER,SL,72
CO000180,J000020,B1,AC_THREE_TIER,3A,64
CO000181,J000020,B2,AC_THREE_TIER,3A,64
CO000182,J000020,B3,AC_THREE_TIER,3A,64
CO000183,J000020,B4,AC_THREE_TIER,3A,64
CO000184,J000020,A1,AC_TWO_TIER,2A,48
CO000185,J000020,A2,AC_TWO_TIER,2A,48
CO000186,J000020,S1,SLEEPER,SL,72
CO000187,J000020,S2,SLEEPER,SL,72
