group_id,booking_id,journey_id,group_name,group_size,group_type,travelling_together,priority_level
GR000001,BK000001,J000001,Friends Demo Group 00001,4,FRIENDS,True,NORMAL
GR000002,BK000002,J000001,Family Demo Group 00002,2,FAMILY,True,NORMAL
GR000003,BK000003,J000001,Couple Demo Group 00003,3,COUPLE,True,NORMAL
GR000004,BK000004,J000001,Friends Demo Group 00004,5,FRIENDS,True,NORMAL
GR000005,BK000005,J000001,Couple Demo Group 00005,5,COUPLE,True,NORMAL
GR000006,BK000006,J000001,Group Demo Group 00006,1,GROUP,True,NORMAL
GR000007,BK000007,J000001,Friends Demo Group 00007,2,FRIENDS,True,NORMAL
GR000008,BK000008,J000001,Family Demo Group 00008,4,FAMILY,True,NORMAL
GR000009,BK000009,J000001,Group Demo Group 00009,1,GROUP,True,NORMAL
GR000010,BK000010,J000001,Group Demo Group 00010,1,GROUP,True,NORMAL
GR000011,BK000011,J000001,Group Demo Group 00011,4,GROUP,True,NORMAL
GR000012,BK000012,J000001,Couple Demo Group 00012,6,COUPLE,True,HIGH
GR000013,BK000013,J000001,Friends Demo Group 00013,4,FRIENDS,True,NORMAL
GR000014,BK000014,J000001,Group Demo Group 00014,1,GROUP,True,NORMAL
GR000015,BK000015,J000001,Friends Demo Group 00015,2,FRIENDS,True,NORMAL
GR000016,BK000016,J000001,Group Demo Group 00016,3,GROUP,True,NORMAL
GR000017,BK000017,J000001,Group Demo Group 00017,6,GROUP,True,HIGH
GR000018,BK000018,J000001,Family Demo Group 00018,2,FAMILY,True,NORMAL
GR000019,BK000019,J000001,Couple Demo Group 00019,3,COUPLE,True,NORMAL
GR000020,BK000020,J000001,Family Demo Group 00020,4,FAMILY,True,NORMAL
GR000021,BK000021,J000001,Friends Demo Group 00021,4,FRIENDS,True,NORMAL
GR000022,BK000022,J000001,Group Demo Group 00022,1,GROUP,True,NORMAL
GR000023,BK000023,J000001,Couple Demo Group 00023,3,COUPLE,True,NORMAL
GR000024,BK000024,J000001,Family Demo Group 00024,4,FAMILY,True,NORMAL
GR000025,BK000025,J000001,Group Demo Group 00025,1,GROUP,True,NORMAL
GR000026,BK000026,J000001,Friends Demo Group 00026,3,FRIENDS,True,NORMAL
GR000027,BK000027,J000001,Couple Demo Group 00027,7,COUPLE,True,HIGH
GR000028,BK000028,J000001,Group Demo Group 00028,1,GROUP,True,NORMAL
GR000029,BK000029,J000001,Friends Demo Group 00029,4,FRIENDS,True,NORMAL
GR000030,BK000030,J000001,Couple Demo Group 00030,8,COUPLE,True,HIGH
GR000031,BK000031,J000001,Group Demo Group 00031,4,GROUP,True,NORMAL
GR000032,BK000032,J000001,Couple Demo Group 00032,2,COUPLE,True,NORMAL
GR000033,BK000033,J000001,Group Demo Group 00033,2,GROUP,True,NORMAL
GR000034,BK000034,J000001,Couple Demo Group 00034,4,COUPLE,True,NORMAL
GR000035,BK000035,J000001,Group Demo Group 00035,4,GROUP,True,NORMAL
GR000036,BK000036,J000001,Couple Demo Group 00036,2,COUPLE,True,NORMAL
GR000037,BK000037,J000001,Friends Demo Group 00037,4,FRIENDS,True,NORMAL
GR000038,BK000038,J000001,Caregiver Demo Group 00038,8,CAREGIVER,True,HIGH
GR000039,BK000039,J000001,Group Demo Group 00039,1,GROUP,True,NORMAL
GR000040,BK000040,J000001,Group Demo Group 00040,1,GROUP,True,NORMAL
GR000041,BK000041,J000001,Friends Demo Group 00041,4,FRIENDS,True,NORMAL
GR000042,BK000042,J000001,Couple Demo Group 00042,4,COUPLE,True,NORMAL
GR000043,BK000043,J000001,Friends Demo Group 00043,2,FRIENDS,True,NORMAL
GR000044,BK000044,J000001,Group Demo Group 00044,1,GROUP,True,NORMAL
GR000045,BK000045,J000001,Group Demo Group 00045,2,GROUP,True,NORMAL
GR000046,BK000046,J000001,Group Demo Group 00046,1,GROUP,True,NORMAL
GR000047,BK000047,J000001,Friends Demo Group 00047,6,FRIENDS,True,HIGH
GR000048,BK000048,J000001,Family Demo Group 00048,8,FAMILY,True,HIGH
GR000049,BK000049,J000001,Group Demo Group 00049,2,GROUP,True,NORMAL
GR000050,BK000050,J000001,Couple Demo Group 00050,4,COUPLE,True,NORMAL
GR000051,BK000051,J000001,Group Demo Group 00051,8,GROUP,True,HIGH
GR000052,BK000052,J000001,Couple Demo Group 00052,2,COUPLE,True,NORMAL
GR000053,BK000053,J000001,Group Demo Group 00053,2,GROUP,True,NORMAL
GR000054,BK000054,J000001,Group Demo Group 00054,1,GROUP,True,NORMAL
GR000055,BK000055,J000001,Group Demo Group 00055,1,GROUP,True,NORMAL
GR000056,BK000056,J000001,Friends Demo Group 00056,5,FRIENDS,True,NORMAL
GR000057,BK000057,J000001,Caregiver Demo Group 00057,5,CAREGIVER,True,HIGH
GR000058,BK000058,J000001,Couple Demo Group 00058,4,COUPLE,True,NORMAL
GR000059,BK000059,J000001,Group Demo Group 00059,4,GROUP,True,NORMAL
GR000060,BK000060,J000001,Group Demo Group 00060,1,GROUP,True,NORMAL
GR000061,BK000061,J000001,Group Demo Group 00061,2,GROUP,True,NORMAL
GR000062,BK000062,J000001,Family Demo Group 00062,2,FAMILY,True,NORMAL
GR000063,BK000063,J000001,Group Demo Group 00063,1,GROUP,True,NORMAL
