preference_id,passenger_id,journey_id,preferred_berth_type,preferred_coach,willing_to_exchange,exchange_same_coach_only,exchange_same_class_only,special_note
PR0000001,P000001,J000001,LOWER,B2,True,True,True,
PR0000002,P000002,J000001,LOWER,B2,True,True,True,
PR0000003,P000003,J000001,LOWER,B2,True,True,True,
PR0000004,P000004,J000001,LOWER,B2,True,True,True,
PR0000005,P000005,J000001,LOWER,B3,True,True,True,
PR0000006,P000006,J000001,LOWER,B3,True,True,True,
PR0000007,P000007,J000001,LOWER,,True,False,True,
PR0000008,P000008,J000001,LOWER,,False,False,True,
PR0000009,P000009,J000001,LOWER,,False,False,True,
PR0000010,P000010,J000001,LOWER,B2,True,True,True,
PR0000011,P000011,J000001,LOWER,B2,True,True,True,
PR0000012,P000012,J000001,LOWER,B2,True,True,True,
PR0000013,P000013,J000001,LOWER,B2,True,True,True,
PR0000014,P000014,J000001,LOWER,B2,True,True,True,
PR0000015,P000015,J000001,LOWER,B1,True,True,True,
PR0000016,P000016,J000001,LOWER,B1,True,True,True,
PR0000017,P000017,J000001,LOWER,,True,False,True,
PR0000018,P000018,J000001,LOWER,,False,False,True,
PR0000019,P000019,J000001,LOWER,,False,False,True,
PR0000020,P000020,J000001,LOWER,B2,True,True,True,Primary demo candidate; synthetic voluntary exchange state.
PR0000021,P000021,J000001,LOWER,B3,True,True,True,
PR0000022,P000022,J000001,LOWER,B3,True,True,True,
PR0000023,P000023,J000001,LOWER,B1,True,True,True,
PR0000024,P000024,J000001,LOWER,B1,True,True,True,
PR0000025,P000025,J000001,LOWER,B1,True,True,True,
PR0000026,P000026,J000001,LOWER,B1,True,True,True,
PR0000027,P000027,J000001,LOWER,B2,True,True,True,Primary demo candidate; synthetic voluntary exchange state.
PR0000028,P000028,J000001,LOWER,B2,True,True,True,Primary demo candidate; synthetic voluntary exchange state.
PR0000029,P000029,J000001,LOWER,,False,False,True,
PR0000030,P000030,J000001,LOWER,B1,True,True,True,
PR0000031,P000031,J000001,LOWER,B1,True,True,True,
PR0000032,P000032,J000001,LOWER,B1,True,True,True,
PR0000033,P000033,J000001,LOWER,B2,True,True,True,
PR0000034,P000034,J000001,LOWER,B2,True,True,True,
PR0000035,P000035,J000001,LOWER,B2,True,True,True,
PR0000036,P000036,J000001,LOWER,B2,True,True,True,
PR0000037,P000037,J000001,LOWER,,True,False,True,
PR0000038,P000038,J000001,LOWER,,False,False,True,
PR0000039,P000039,J000001,LOWER,,False,False,True,
PR0000040,P000040,J000001,LOWER,B1,True,True,False,
PR0000041,P000041,J000001,LOWER,B1,True,True,True,
PR0000042,P000042,J000001,LOWER,B1,True,True,True,
PR0000043,P000043,J000001,LOWER,B3,True,True,True,
PR0000044,P000044,J000001,LOWER,B3,True,True,True,
PR0000045,P000045,J000001,LOWER,B3,True,True,True,
PR0000046,P000046,J000001,LOWER,B3,True,True,True,
PR0000047,P000047,J000001,LOWER,,True,False,True,
PR0000048,P000048,J000001,LOWER,,False,False,True,
PR0000049,P000049,J000001,LOWER,,False,False,True,
PR0000050,P000050,J000001,LOWER,B2,True,True,True,
PR0000051,P000051,J000001,LOWER,B2,True,True,True,
PR0000052,P000052,J000001,LOWER,B2,True,True,True,
PR0000053,P000053,J000001,LOWER,B2,True,True,True,
PR0000054,P000054,J000001,LOWER,B2,True,True,True,
PR0000055,P000055,J000001,LOWER,S1,True,True,True,
PR0000056,P000056,J000001,LOWER,S1,True,True,True,
PR0000057,P000057,J000001,LOWER,,True,False,True,
PR0000058,P000058,J000001,LOWER,,False,False,True,
PR0000059,P000059,J000001,LOWER,,False,False,True,
PR0000060,P000060,J000001,LOWER,B1,True,True,False,
PR0000061,P000061,J000001,LOWER,B1,True,True,True,
PR0000062,P000062,J000001,LOWER,B1,True,True,True,
PR0000063,P000063,J000001,LOWER,B1,True,True,True,
PR0000064,P000064,J000001,LOWER,B1,True,True,True,
PR0000065,P000065,J000001,LOWER,B1,True,True,True,
PR0000066,P000066,J000001,LOWER,B1,True,True,True,
PR0000067,P000067,J000001,LOWER,,True,False,True,
PR0000068,P000068,J000001,LOWER,,False,False,True,
PR0000069,P000069,J000001,LOWER,,False,False,True,Synthetic child is part of a family group.
PR0000070,P000070,J000001,LOWER,B3,True,True,True,
PR0000071,P000071,J000001,LOWER,B3,True,True,True,
PR0000072,P000072,J000001,LOWER,B1,True,True,True,
PR0000073,P000073,J000001,LOWER,B1,True,True,True,
PR0000074,P000074,J000001,LOWER,B1,True,True,True,
PR0000075,P000075,J000001,LOWER,B1,True,True,True,
PR0000076,P000076,J000001,LOWER,B3,True,True,True,
PR0000077,P000077,J000001,LOWER,B3,True,False,True,
PR0000078,P000078,J000001,LOWER,,False,False,True,
PR0000079,P000079,J000001,LOWER,,False,False,True,
PR0000080,P000080,J000001,LOWER,B2,True,True,False,
PR0000081,P000081,J000001,LOWER,B2,True,True,True,
PR0000082,P000082,J000001,LOWER,B2,True,True,True,
PR0000083,P000083,J000001,LOWER,B2,True,True,True,
PR0000084,P000084,J000001,LOWER,B2,True,True,True,
PR0000085,P000085,J000001,LOWER,B2,True,True,True,
PR0000086,P000086,J000001,LOWER,B2,True,True,True,
PR0000087,P000087,J000001,LOWER,,True,False,True,
PR0000088,P000088,J000001,LOWER,B1,False,False,True,Synthetic senior prefers lower berth.
PR0000089,P000089,J000001,LOWER,,False,False,True,
PR0000090,P000090,J000001,LOWER,B1,True,True,True,
PR0000091,P000091,J000001,LOWER,B1,True,True,True,
PR0000092,P000092,J000001,LOWER,B2,True,True,True,
PR0000093,P000093,J000001,LOWER,B2,True,True,True,
PR0000094,P000094,J000001,LOWER,B2,True,True,True,
PR0000095,P000095,J000001,LOWER,B2,True,True,True,
PR0000096,P000096,J000001,LOWER,B2,True,True,True,
PR0000097,P000097,J000001,LOWER,,True,False,True,
