route_id,train_id,sequence_number,station_id,arrival_time,departure_time,day_offset,distance_from_origin_km
RTE001,TR001,1,ST0001,04:50,05:00,0,0
RTE001,TR001,2,ST0019,06:19,06:29,0,101
RTE001,TR001,3,ST0003,08:05,08:16,0,225
RTE001,TR001,4,ST0002,10:09,10:21,0,372
RTE002,TR002,1,ST0001,08:07,08:17,0,0
RTE002,TR002,2,ST0019,09:49,10:00,0,130
RTE002,TR002,3,ST0008,11:49,12:01,0,283
RTE002,TR002,4,ST0003,12:56,13:09,0,459
RTE002,TR002,5,ST0002,14:21,14:35,0,658
RTE002,TR002,6,ST0004,16:04,16:19,0,735
RTE002,TR002,7,ST0005,18:05,18:13,0,835
RTE003,TR003,1,ST0001,11:24,11:34,0,0
RTE003,TR003,2,ST0019,13:19,13:31,0,159
RTE003,TR003,3,ST0015,14:22,14:35,0,341
RTE003,TR003,4,ST0014,15:43,15:57,0,401
RTE003,TR003,5,ST0016,17:22,17:37,0,484
RTE003,TR003,6,ST0017,19:19,19:27,0,590
RTE004,TR004,1,ST0001,14:41,14:51,0,0
RTE004,TR004,2,ST0019,15:38,15:51,0,188
RTE004,TR004,3,ST0020,16:55,17:09,0,254
RTE004,TR004,4,ST0021,18:30,18:45,0,343
RTE004,TR004,5,ST0024,20:23,20:31,0,455
RTE004,TR004,6,ST0025,22:26,22:35,0,590
RTE005,TR005,1,ST0001,05:58,06:08,0,0
RTE005,TR005,2,ST0020,07:08,07:22,0,72
RTE005,TR005,3,ST0011,08:39,08:54,0,167
RTE005,TR005,4,ST0033,10:28,10:36,0,285
RTE005,TR005,5,ST0032,12:27,12:36,0,426
RTE005,TR005,6,ST0030,13:33,13:43,0,590
RTE006,TR006,1,ST0001,09:15,09:25,0,0
RTE006,TR006,2,ST0019,10:38,10:53,0,101
RTE006,TR006,3,ST0015,12:23,12:31,0,225
RTE006,TR006,4,ST0018,14:18,14:27,0,372
RTE006,TR006,5,ST0017,15:20,15:30,0,542
RTE006,TR006,6,ST0039,16:40,16:51,0,735
RTE006,TR006,7,ST0040,18:18,18:30,0,806
RTE007,TR007,1,ST0009,12:32,12:42,0,0
RTE007,TR007,2,ST0010,14:08,14:16,0,130
RTE007,TR007,3,ST0013,15:59,16:08,0,283
RTE007,TR007,4,ST0030,16:57,17:07,0,459
RTE007,TR007,5,ST0029,18:13,18:24,0,658
RTE007,TR007,6,ST0026,19:47,19:59,0,735
RTE008,TR008,1,ST0012,15:49,15:59,0,0
RTE008,TR008,2,ST0009,17:38,17:47,0,159
RTE008,TR008,3,ST0011,18:32,18:42,0,341
RTE008,TR008,4,ST0033,19:44,19:55,0,401
