seat_id,coach_id,coach_number,seat_number,berth_type,row_number,position,is_window,is_aisle
SE0000001,CO000001,B1,1,LOWER,1,WINDOW,True,False
SE0000002,CO000001,B1,2,MIDDLE,1,MIDDLE,False,False
SE0000003,CO000001,B1,3,UPPER,1,AISLE,False,True
SE0000004,CO000001,B1,4,LOWER,1,WINDOW,True,False
SE0000005,CO000001,B1,5,MIDDLE,1,MIDDLE,False,False
SE0000006,CO000001,B1,6,UPPER,1,AISLE,False,True
SE0000007,CO000001,B1,7,LOWER,2,WINDOW,True,False
SE0000008,CO000001,B1,8,MIDDLE,2,MIDDLE,False,False
SE0000009,CO000001,B1,9,UPPER,2,AISLE,False,True
SE0000010,CO000001,B1,10,LOWER,2,WINDOW,True,False
SE0000011,CO000001,B1,11,MIDDLE,2,MIDDLE,False,False
SE0000012,CO000001,B1,12,UPPER,2,AISLE,False,True
SE0000013,CO000001,B1,13,LOWER,3,WINDOW,True,False
SE0000014,CO000001,B1,14,MIDDLE,3,MIDDLE,False,False
SE0000015,CO000001,B1,15,UPPER,3,AISLE,False,True
SE0000016,CO000001,B1,16,LOWER,3,WINDOW,True,False
SE0000017,CO000001,B1,17,MIDDLE,3,MIDDLE,False,False
SE0000018,CO000001,B1,18,UPPER,3,AISLE,False,True
SE0000019,CO000001,B1,19,LOWER,4,WINDOW,True,False
SE0000020,CO000001,B1,20,MIDDLE,4,MIDDLE,False,False
SE0000021,CO000001,B1,21,UPPER,4,AISLE,False,True
SE0000022,CO000001,B1,22,LOWER,4,WINDOW,True,False
SE0000023,CO000001,B1,23,MIDDLE,4,MIDDLE,False,False
SE0000024,CO000001,B1,24,UPPER,4,AISLE,False,True
SE0000025,CO000001,B1,25,LOWER,5,WINDOW,True,False
SE0000026,CO000001,B1,26,MIDDLE,5,MIDDLE,False,False
SE0000027,CO000001,B1,27,UPPER,5,AISLE,False,True
SE0000028,CO000001,B1,28,LOWER,5,WINDOW,True,False
SE0000029,CO000001,B1,29,MIDDLE,5,MIDDLE,False,False
SE0000030,CO000001,B1,30,UPPER,5,AISLE,False,True
SE0000031,CO000001,B1,31,LOWER,6,WINDOW,True,False
SE0000032,CO000001,B1,32,MIDDLE,6,MIDDLE,False,False
SE0000033,CO000001,B1,33,UPPER,6,AISLE,False,True
SE0000034,CO000001,B1,34,LOWER,6,WINDOW,True,False
SE0000035,CO000001,B1,35,MIDDLE,6,MIDDLE,False,False
SE0000036,CO000001,B1,36,UPPER,6,AISLE,False,True
SE0000037,CO000001,B1,37,LOWER,7,WINDOW,True,False
SE0000038,CO000001,B1,38,MIDDLE,7,MIDDLE,False,False
SE0000039,CO000001,B1,39,UPPER,7,AISLE,False,True
SE0000040,CO000001,B1,40,LOWER,7,WINDOW,True,False
SE0000041,CO000001,B1,41,MIDDLE,7,MIDDLE,False,False
SE0000042,CO000001,B1,42,UPPER,7,AISLE,False,True
SE0000043,CO000001,B1,43,LOWER,8,WINDOW,True,False
SE0000044,CO000001,B1,44,MIDDLE,8,MIDDLE,False,False
SE0000045,CO000001,B1,45,UPPER,8,AISLE,False,True
SE0000046,CO000001,B1,46,LOWER,8,WINDOW,True,False
SE0000047,CO000001,B1,47,MIDDLE,8,MIDDLE,False,False
